,Country Name,City,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Updated Year
24921,South Africa,Waterberg,2021,18.86,44.71,18.37,75.0,75.0,75.0,2022
24924,South Africa,West Coast,2015,7.47,24.64,7.64,75.0,75.0,75.0,2022
24925,South Africa,West Coast,2016,8.42,33.28,7.27,75.0,75.0,75.0,2022
24926,South Africa,West Coast,2017,6.83,20.49,8.72,75.0,75.0,75.0,2022
24927,South Africa,West Coast,2018,6.1,17.99,7.15,75.0,75.0,75.0,2022
24937,Spain,Aguimes,2010,7.38,24.84,10.36,99.064,98.7955,98.659,2022
24971,Spain,Albacete,2010,14.16,34.18,12.7,94.977,96.792,98.071,2022
25033,Spain,Alcora (L'),2010,9.62,32.1,11.98,89.989,90.0,98.619,2022
25034,Spain,Alcorcon,2010,8.89,25.45,36.3,99.806,99.852,99.292,2022
25053,Spain,Alcoy/Alcoi,2010,11.06,13.65,15.45,87.637,89.589,77.363,2022
25055,Spain,Alfaro,2010,11.26,29.5,10.53,98.916,97.957,99.543,2022
25074,Spain,Algete,2010,9.36,31.88,13.19,99.03,99.178,99.395,2022
25075,Spain,Alicante/Alacant,2010,12.14,23.26,27.46,86.741,84.412,77.4315,2022
25083,Spain,Almazora/Almassora,2010,11.82,32.01,25.58,92.785,80.468,99.326,2022
25117,Spain,Arafo,2010,8.51,19.43,10.64,96.301,96.301,93.71,2022
25150,Spain,Arona,2010,11.12,23.8,6.87,97.4656666666666,97.26,93.0976666666666,2022
25166,Spain,Arrecife,2010,4.95,24.05,7.86,99.6745,99.6745,97.9795,2022
25175,Spain,Arrubal,2010,10.23,23.32,11.35,98.413,99.578,99.806,2022
25184,Spain,Arucas,2010,4.82,17.72,4.91,87.957,90.331,89.121,2022
25207,Spain,Atazar (El),2010,8.91,23.86,4.24,98.847,98.995,98.733,2022
25287,Spain,Barcarrota,2010,7.64,15.18,2.94,81.37,82.74,98.071,2022
25288,Spain,Barcelona,2010,17.16,27.42,46.94,82.67125,81.0046666666666,95.6486,2022
25353,Spain,Benidorm,2010,9.16,12.96,9.15,95.046,95.046,92.237,2022
25391,Spain,Brena Baja,2010,5.86,21.65,14.89,91.918,87.055,92.751,2022
25406,Spain,Bunol,2010,9.25,16.12,15.66,96.062,96.062,92.945,2022
25445,Spain,Burriana,2010,16.71,18.16,8.15,90.696,93.607,99.144,2022
25462,Spain,Cadaques,2010,7.89,16.43,2.46,81.37,85.753,96.016,2022
25501,Spain,Campisabalos,2010,5.66,11.01,1.51,80.548,89.863,97.363,2022
25587,Spain,Castellon De La Plana,2010,11.07,19.62,18.25,87.226,93.2535,92.9986666666666,2022
25604,Spain,Caudete De Las Fuentes,2010,10.45,15.17,8.99,97.842,97.842,97.865,2022
25664,Spain,Collado Villalba,2010,13.25,30.2,34.23,98.379,99.555,99.212,2022
25845,Spain,Elda,2010,10.26,14.47,13.22,93.311,93.311,96.553,2022
25932,Spain,Galilea,2010,9.15,12.99,9.62,99.578,99.406,99.68,2022
25947,Spain,Gandia,2010,14.23,20.77,17.48,85.594,85.594,92.329,2022
25971,Spain,Gijon,2010,11.94,30.03,34.74,98.584,96.9556666666666,98.6036666666666,2022
25996,Spain,Granadilla De Abona,2010,8.88,25.17,9.21,92.3403333333333,93.014,91.4306666666666,2022
26166,Spain,Langreo,2010,16.96,23.89,21.22,95.742,97.7625,97.5606666666666,2022
26226,Spain,Llanes,2010,9.25,15.43,5.34,92.329,93.973,98.333,2022
26322,Spain,Madrid,2010,12.32,21.72,44.49,94.9998,95.5168181818181,97.305,2022
26623,Spain,Palma De Mallorca,2010,10.61,23.46,24.58,99.909,93.556,84.9714999999999,2022
26624,Spain,Palmas De Gran Canaria (Las),2010,7.36,21.8,20.78,89.958,93.4703333333333,89.2495,2022
26640,Spain,Pamplona,2010,13.31,25.0,30.96,93.379,97.0433333333333,94.3873333333333,2022
26671,Spain,Penausende,2010,4.86,8.72,3.76,93.699,95.068,98.63,2022
26707,Spain,Pontes De Garcia Rodríguez,2010,7.94,13.14,4.16,94.4005,96.2725,97.152,2022
26722,Spain,Pradejon,2010,7.15,22.53,9.64,97.694,98.094,98.756,2022
26745,Spain,Puerto Del Rosario,2010,6.5,26.09,9.93,99.0465,98.5385,94.806,2022
26754,Spain,Puertollano,2010,17.03,27.04,17.68,94.441,98.39,96.07875,2022
26780,Spain,Realejos (Los),2010,4.42,18.17,11.92,84.418,81.792,96.473,2022
26852,Spain,San Bartolome De Tirajana,2010,8.73,29.02,13.73,92.017,93.341,93.6756666666666,2022
26916,Spain,San Pablo De Los Montes,2010,5.93,11.0,3.15,93.699,97.26,99.087,2022
26940,Spain,Sanguesa/Zangoza,2010,15.73,27.23,7.64,76.199,86.564,89.612,2022
27032,Spain,Santa Cruz De Tenerife,2010,8.79,24.04,25.23,86.056,87.49125,91.51525,2022
27058,Spain,Santiago De Compostela,2010,6.28,11.54,15.46,90.719,92.289,91.227,2022
27121,Spain,Teguise,2010,6.71,21.17,7.54,98.79,98.516,97.066,2022
27129,Spain,Telde,2010,7.84,18.1,10.19,75.605,90.502,89.0925,2022
27185,Spain,Torms (Els),2010,7.32,12.61,3.68,85.753,90.685,98.664,2022
27187,Spain,Torrejon De Ardoz,2010,15.01,37.05,24.95,98.025,98.607,98.562,2022
27237,Spain,Valdemoro,2010,12.92,28.99,24.15,98.927,99.349,98.847,2022
27245,Spain,Valencia,2010,13.0,23.16,33.21,91.5486666666666,94.866,89.0642,2022
27255,Spain,Valladolid,2010,11.39,19.78,23.15,94.73,99.4026666666666,92.95975,2022
27336,Spain,Villa Del Prado,2010,9.07,23.96,8.3,98.253,99.041,97.18,2022
27344,Spain,Villalba De Guardo,2010,6.74,10.31,2.9,99.737,99.737,99.418,2022
27357,Spain,Villar Del Arzobispo,2010,9.03,13.92,4.94,97.489,97.477,98.208,2022
27358,Spain,Villarejo De Salvanes,2010,12.54,32.84,16.98,98.208,99.224,99.053,2022
27377,Spain,Viver,2010,8.98,18.88,8.01,85.502,85.377,91.815,2022
27420,Spain,Zarra,2010,5.47,11.89,4.28,96.712,95.616,99.224,2022
27425,Spain,Zorita Del Maestrazgo,2010,8.4,15.98,5.04,97.979,97.979,91.324,2022
27445,Sweden,Alvesta,2018,7.03,15.08,8.17,99.39497717,99.39497717,99.39497717,2022
27448,Sweden,Arlov,2016,6.69,14.86,15.4,99.43078324,99.43078324,99.43647541,2022
27449,Sweden,Arlov,2017,5.99,15.8,15.19,100.0,100.0,100.0,2022
27450,Sweden,Arlov,2018,6.66,18.4,13.6,99.74885845,99.74885845,99.720319635,2022
27469,Sweden,Bredkalen,2010,2.07,3.63,0.48,93.151,95.342,99.178,2022
27501,Sweden,Göteborg,2010,9.06,18.88,37.08,97.991,98.9613333333333,98.185,2022
27560,Sweden,Klaverod,2010,7.19,13.74,3.48,86.587,78.642,96.164,2022
27565,Sweden,Kristianstad,2016,8.96,15.39,9.2,91.80327869,91.80327869,91.80327869,2022
27589,Sweden,Ljungby,2017,5.51,14.74,7.2,97.85388128,97.85388128,97.85388128,2022
27590,Sweden,Ljungby,2018,6.78,16.69,7.62,99.97716895,99.97716895,99.97716895,2022
27591,Sweden,Ljungby,2019,4.85,11.08,6.55,95.66210046,95.66210046,95.66210046,2022
27617,Sweden,Malmö,2010,13.57,18.17,28.29,96.387,98.2875,99.391,2022
27655,Sweden,Olofström,2015,4.51,7.15,7.97,96.62100457,96.62100457,96.62100457,2022
27656,Sweden,Olofström,2016,3.77,4.92,7.91,83.11703097,83.11703097,83.11703097,2022
27658,Sweden,Olofström,2018,4.85,15.79,7.76,100.0,100.0,100.0,2022
27659,Sweden,Onsala,2010,6.51,11.72,4.18,95.342,95.89,98.63,2022
27661,Sweden,Onsala,2014,6.42,14.18,3.22,99.45205479,99.45205479,99.45205479,2022
27662,Sweden,Onsala,2015,5.02,15.15,3.08,99.17808219,99.17808219,99.17808219,2022
27663,Sweden,Onsala,2016,3.77,12.56,3.57,98.90710383,98.90710383,98.90710383,2022
27664,Sweden,Onsala,2017,3.29,11.88,2.93,100.0,100.0,100.0,2022
27665,Sweden,Onsala,2018,3.74,12.56,3.53,96.35844749,96.35844749,96.35844749,2022
27666,Sweden,Onsala,2019,3.94,10.96,3.32,100.0,100.0,100.0,2022
27732,Sweden,Stockholm,2010,7.84,23.29,37.57,88.299,96.4423333333333,98.2515,2022
27749,Sweden,Tingsryd,2018,9.59,13.33,6.38,99.42922374,99.42922374,99.42922374,2022
27770,Sweden,Umee,2010,4.29,19.35,31.38,81.096,98.002,94.161,2022
27794,Sweden,Växjö,2017,5.87,11.65,8.69,98.05936073,98.05936073,98.05936073,2022
27796,Sweden,Växjö,2019,5.98,12.86,6.75,96.48401826,96.48401826,96.48401826,2022
27797,Sweden,Visby,2010,8.47,26.41,6.54,86.575,84.658,83.014,2022
28850,Thailand,Bangkok,2019,23.14,43.14,36.83,84.8571428571428,88.7142857142857,79.3333333333333,2022
28854,Thailand,Chachoengsao,2019,16.0,45.0,21.0,50.0,96.0,93.0,2022
28858,Thailand,Chiang Mai,2019,33.0,53.0,22.5,99.5,100.0,95.0,2022
28862,Thailand,Chiang Rai,2019,37.0,52.5,15.0,98.5,98.5,95.0,2022
28866,Thailand,Chon Buri,2019,20.67,44.67,24.67,97.6666666666666,98.0,93.6666666666666,2022
28871,Thailand,Khon Kaen,2019,34.0,59.0,19.0,99.0,99.0,94.0,2022
28875,Thailand,Lampang,2019,30.0,45.5,10.25,98.25,97.75,92.25,2022
28877,Thailand,Lamphun,2019,36.0,57.0,30.0,93.0,93.0,89.0,2022
28883,Thailand,Mae Hong Son,2019,31.0,41.0,8.0,96.0,96.0,95.0,2022
28884,Thailand,Nakhon Pathom,2019,22.0,44.0,23.0,50.0,50.0,50.0,2022
28894,Thailand,Nan,2019,29.5,46.5,8.5,98.0,98.5,93.5,2022
28902,Thailand,Nonthaburi,2019,24.5,44.0,28.5,74.0,88.0,65.5,2022
28904,Thailand,Pathum Thani,2019,25.0,38.0,28.0,97.0,96.0,87.0,2022
28906,Thailand,Phayao,2019,18.0,29.0,9.0,50.0,50.0,50.0,2022
28908,Thailand,Phra Nakhon Si Ayutthaya,2019,25.0,53.0,24.0,97.0,94.0,95.0,2022
28917,Thailand,Prachin Buri,2019,25.0,42.0,11.0,98.0,95.0,90.0,2022
28920,Thailand,Ratchaburi,2019,30.0,54.0,13.0,93.0,92.0,89.0,2022
28924,Thailand,Rayong,2019,19.2,44.4,21.0,77.4,96.8,90.4,2022
28932,Thailand,Samut Prakan,2019,25.8,44.4,29.6,89.0,79.6,76.4,2022
28936,Thailand,Samut Sakhon,2019,29.0,49.5,35.5,97.5,97.5,93.0,2022
28940,Thailand,Saraburi,2019,23.0,55.0,32.0,93.0,94.0,92.0,2022
28941,Thailand,Satun,2019,14.0,25.0,6.0,100.0,100.0,95.0,2022
28945,Thailand,Songkhla,2019,23.0,33.0,13.0,50.0,50.0,50.0,2022
28950,Thailand,Tak,2019,28.0,54.0,11.0,99.0,99.0,93.0,2022
28958,Trinidad and Tobago,Point Lisas,2019,11.9,31.5,16.25,73.7,54.3,47.3,2022
28961,Trinidad and Tobago,Port Of Spain,2019,13.4,25.0,8.55,55.34,55.9,55.6,2022
28979,Turkey,Adnan Menderes,2019,14.25,34.83,22.54,99.00684932,99.00684932,99.00684932,2022
29037,Turkey,Avcılar,2019,21.52,28.08,37.55,99.26940639,99.26940639,99.26940639,2022
29044,Turkey,Bağcılar,2019,21.57,44.23,51.57,99.40639269,99.40639269,99.40639269,2022
29214,Turkey,Evliya Çelebi,2019,18.13,45.41,42.07,96.23287671,96.23287671,96.23287671,2022
29354,Turkey,Kumköy,2019,14.24,19.12,13.9,95.79908676,95.79908676,95.79908676,2022
29461,Turkey,Sarıyer,2019,20.3,34.99,30.68,98.18493151,98.18493151,98.18493151,2022
29499,Turkey,Sultan Ahmet,2019,21.42,32.31,62.73,98.63013699,98.63013699,98.63013699,2022
29534,Turkey,Üskudar,2019,17.27,30.52,64.24,96.67808219,96.67808219,96.67808219,2022
29607,United Kingdom,Aberdeen,2010,7.07,13.3,58.65,79.977,91.484,78.893,2022
29651,United Kingdom,Biandrate,2010,17.23,21.46,37.69,76.564,86.484,95.913,2022
29660,United Kingdom,Birmingham,2010,14.62,20.48,44.07,98.87,96.438,98.687,2022
29705,United Kingdom,Bristol,2010,14.21,20.33,47.57,95.856,96.381,85.3365,2022
29746,United Kingdom,Carlisle,2010,15.54,22.47,32.79,95.057,94.486,96.381,2022
29761,United Kingdom,Chesterfield,2010,13.26,19.87,21.18,91.655,90.251,93.619,2022
29797,United Kingdom,Didcot,2010,9.46,13.69,11.94,94.218,78.3905,97.454,2022
29836,United Kingdom,Edinburgh,2010,9.49,14.21,27.36,93.539,94.76,98.7845,2022
29881,United Kingdom,Glasgow,2010,17.74,28.63,58.8,97.6715,97.808,97.3403333333333,2022
29896,United Kingdom,Grangemouth,2010,11.01,14.4,19.3,94.041,94.612,89.909,2022
29938,United Kingdom,Hull,2010,9.79,18.54,27.92,94.349,89.977,94.452,2022
29947,United Kingdom,Inverness,2010,6.88,14.06,24.49,88.767,88.219,88.813,2022
29963,United Kingdom,Leamington Spa,2010,16.03,20.36,28.31,97.808,97.763,99.338,2022
29964,United Kingdom,Leeds,2010,16.76,20.97,43.76,92.049,98.265,94.0185,2022
29992,United Kingdom,Liverpool,2010,11.74,17.46,28.69,83.687,81.119,97.34,2022
29996,United Kingdom,London,2010,14.39,22.71,49.23,86.2991,87.5701428571428,93.2920769230769,2022
30025,United Kingdom,Middlesbrough,2010,9.43,15.1,21.94,75.491,85.297,97.443,2022
30042,United Kingdom,Newcastle Upon Tyne,2010,10.39,14.85,34.13,91.313,97.432,98.0765,2022
30071,United Kingdom,Norwich,2010,12.65,17.8,13.24,93.619,77.626,90.731,2022
30079,United Kingdom,Nottingham,2010,15.86,23.0,39.95,76.393,88.916,98.733,2022
30091,United Kingdom,Oxford,2010,14.35,16.67,40.15,96.142,92.169,94.7435,2022
30106,United Kingdom,Penicuik,2010,4.27,7.79,8.68,84.658,95.616,98.276,2022
30136,United Kingdom,Port Talbot,2010,9.77,21.77,18.66,94.874,80.0,96.233,2022
30187,United Kingdom,Salford,2010,14.99,18.52,41.92,92.135,98.573,86.005,2022
30216,United Kingdom,Sheffield,2010,15.72,21.7,37.06,98.527,94.144,96.256,2022
30231,United Kingdom,Southampton,2010,13.29,17.75,36.02,75.285,80.776,78.961,2022
30270,United Kingdom,Stockton-On-Tees,2010,9.37,14.42,21.12,91.929,94.932,98.744,2022
30278,United Kingdom,Stoke - On - Trent,2010,16.52,22.11,34.7,96.575,94.007,97.317,2022
30286,United Kingdom,Storrington,2010,14.45,20.38,27.7,93.105,83.721,99.463,2022
30302,United Kingdom,Swansea,2010,8.99,15.75,36.14,94.84,99.03,98.995,2022
30353,United Kingdom,Wrexham,2010,9.84,14.28,24.21,86.301,86.027,96.655,2022
30368,United Kingdom,York,2010,13.59,19.16,48.57,97.683,93.185,93.721,2022
